id;menu_code;menu_name;domain_code;status;description;update_time;update_user;order_index;icon;url
1;azure Buckinghamshire;Soft PCI;Bedfordshire Cotton;37278;out-of-the-box;2021-06-08T20:34:38;Officer;55694;Ridges feed parsing;https://destiny.name
2;Operations connecting fuchsia;Concrete;open-source;25973;Wooden Pound Throughway;2021-06-08T05:24:04;algorithm Configuration quantify;84487;revolutionary Market;https://juvenal.biz
3;Buckinghamshire migration Account;SMTP;navigating alarm;11907;Shoes;2021-06-08T18:24:33;Delaware motivating;9367;Steel;http://andreane.biz
4;microchip model;withdrawal;eyeballs Minnesota complexity;2988;Ergonomic;2021-06-09T01:28:59;facilitate robust Overpass;10769;brand;http://lucile.biz
5;Account JSON Marketing;redundant synthesizing Global;Steel service-desk;99958;Tuna Cotton overriding;2021-06-09T02:27:47;Shirt;61393;Shoes connecting;https://zula.net
6;Rial primary Berkshire;Right-sized;morph Corporate;74953;payment;2021-06-08T06:59:13;Web;48888;Lilangeni monitoring;https://garnet.name
7;Chicken;flexibility Savings users;architectures primary;8522;Grocery bypassing;2021-06-08T23:15:08;cross-platform Awesome;22090;black;https://sandrine.name
8;orange Assistant back-end;PNG Tuna;Investor lavender;30874;withdrawal;2021-06-08T15:41:47;Tuna;19474;Real sensor;https://heaven.com
9;payment blockchains;Granite;Berkshire;63728;digital cross-platform;2021-06-08T07:23:21;Fresh;7540;THX Cotton;http://zelma.org
10;Integration;static;Auto Automated;90180;application;2021-06-08T05:23:21;mobile Intelligent cross-platform;93959;deposit yellow Planner;https://benjamin.info
