id;code;name;start_content;end_content;status;create_datetime;create_user;update_datetime;update_user
1;Ireland auxiliary;Garden;Colorado Ball multi-state;Berkshire;e-markets Pre-emptive Rustic Wooden Chips;2021-06-14T22:46:26;21204;2021-06-14T12:15:47;30764
2;Automotive;e-tailers Cheese optimize;Moroccan Dirham;customer loyalty Wallis and Futuna;Car;2021-06-14T15:06:56;70753;2021-06-14T06:06:45;33441
3;Mouse;Home Implementation;deposit;Central;program;2021-06-14T05:14:55;51200;2021-06-15T03:50:14;88303
4;Antigua and Barbuda;deposit cutting-edge Personal Loan Account;interface;Persevering Vermont aggregate;expedite Springs Legacy;2021-06-14T18:31:34;14442;2021-06-14T04:57:55;10488
5;Sleek Fresh Car Tuna;harness;reinvent;CSS;Nebraska;2021-06-14T19:23:07;21656;2021-06-14T22:28:56;26148
6;Frozen Idaho;knowledge user Mouse;Plastic coherent withdrawal;sensor;Research Uzbekistan Sum;2021-06-14T18:18:30;31778;2021-06-14T19:46:06;34395
7;SAS white;Solutions Savings Account;deposit lavender;Cyprus ivory;Borders Chief;2021-06-15T01:37:06;82549;2021-06-15T02:16:30;87600
8;integrated;Customizable;Operations Russian Ruble;calculating protocol;platforms Ohio;2021-06-14T08:22:27;86696;2021-06-14T23:11:02;10236
9;algorithm Granite Creative;synthesize Licensed Wooden Chicken mobile;Cotton Anguilla;South Dakota Cocos (Keeling) Islands Fantastic Granite Shoes;Re-engineered Applications;2021-06-14T10:58:51;60481;2021-06-14T10:25:00;38826
10;Regional Bedfordshire;Dynamic;Agent;Shoes Cotton Gorgeous;Tools fuchsia Clothing;2021-06-14T10:00:16;35456;2021-06-14T19:57:13;27104
