id;campaign_name;status;create_datetime;create_user
1;withdrawal Fantastic;generating cultivate local;drive Rustic neural;63687
2;Checking Trace;Denar;standardization Health Chicken;39693
3;alarm;hard Internal;Branding;82490
4;Wells;dynamic;Beauty Executive;39841
5;HDD copy e-business;neural;Auto Brand Liberia;10213
6;Proactive deposit Mayotte;program;pricing Investment;2721
7;invoice monetize wireless;SAS;SDD Planner;72432
8;orchestration Buckinghamshire Steel;Avon Wall International;Cuban;68630
9;Mobility red haptic;Legacy Krone connecting;cross-platform yellow;90390
10;intelligence Tools synergy;infrastructure invoice Rubber;Buckinghamshire platforms;64140
