id;campaign_template_id;code;name;status
1;40289;User-centric;Investor bandwidth Practical;payment
2;43761;Implementation;Balanced;reinvent
3;21694;Account deposit programming;Buckinghamshire Hat Virtual;Soft quantify target
4;14147;mission-critical;Chips Chips;firmware convergence
5;89454;reboot Cheese Buckinghamshire;Ball Wooden Unbranded;Baby
6;48589;Auto Towels;exploit Fish indexing;maximize monetize
7;70323;migration;capacitor;neural
8;65894;Front-line red out-of-the-box;Rupee calculate parse;infrastructures
9;7761;synthesize;European full-range Compatible;solution instruction
10;25618;Metrics tan;Group Operations Norway;Ohio Bacon
