id;document_id;name;title;content;status;tags;view_total;create_datetime;create_user;approve_datetime;approve_user
1;96741;Executive Ethiopian Birr;real-time;Drives cutting-edge;Plastic open-source;technologies;14981;2021-06-26T06:51:55;73353;2021-06-25T18:13:12;53027
2;98317;payment virtual Bedfordshire;port Small Metal Tuna system;Music matrices;protocol portals info-mediaries;cutting-edge Streamlined;54695;2021-06-25T23:51:35;45426;2021-06-25T13:44:29;78699
3;46467;strategize Libyan Dinar;Utah Officer;online Consultant;withdrawal;Fresh Generic;72772;2021-06-26T12:12:00;59381;2021-06-26T04:15:27;75263
4;23305;Lithuanian Litas Optimized Technician;extensible Loaf synthesizing;Armenian Dram visualize bypass;support Handcrafted Tuna;Intranet program parse;36813;2021-06-25T23:53:41;30494;2021-06-26T00:49:23;67322
5;82251;generating Hollow;synergistic killer;Corporate Profound;help-desk;Isle initiatives;54574;2021-06-25T17:31:16;11491;2021-06-25T22:01:50;29847
6;10266;Credit Card Account programming;UAE Dirham;Buckinghamshire microchip Movies;Turkish Lira deposit infrastructures;action-items;24033;2021-06-26T06:08:57;80055;2021-06-25T17:05:22;52812
7;81041;calculate Generic exploit;strategy program;primary Michigan;pixel Cote d'Ivoire Brazil;Rustic;707;2021-06-26T10:04:53;73815;2021-06-26T01:02:01;32475
8;78216;West Virginia Handcrafted SSL;Berkshire;Customer hacking;Steel invoice;time-frame transmit invoice;46218;2021-06-26T04:54:49;86641;2021-06-25T21:14:46;18332
9;92144;Unbranded Rubber Soap Refined;B2B solid state;Credit Card Account Germany;Avon Tonga back-end;Pants iterate;93058;2021-06-25T19:23:34;22423;2021-06-25T18:09:37;14620
10;94082;interface Auto Loan Account;Usability Personal Loan Account mission-critical;Cook Islands Vermont Savings Account;withdrawal Sri Lanka Rupee;pixel;20502;2021-06-25T21:59:17;83861;2021-06-26T04:35:42;84610
