id;code;name;start_content;end_content;status;create_datetime;create_user;update_datetime;update_user
1;Grass-roots;incubate;Rwanda Franc;Engineer Total Berkshire;Robust;2021-06-15T06:40:12;70050;2021-06-14T16:15:27;84827
2;American Samoa;intangible protocol;Peso Uruguayo Uruguay Peso en Unidades Indexadas deposit Plastic;Montana Small Soft Gloves Lead;Pakistan Rupee auxiliary repurpose;2021-06-14T10:55:39;19418;2021-06-14T17:41:23;88117
3;Albania optimize;ADP;Berkshire auxiliary;Tasty synthesizing Parks;transparent;2021-06-15T07:29:59;55484;2021-06-15T07:06:09;72331
4;metrics;Iraqi Dinar Architect Cotton;Consultant Research;Savings Account;Grocery;2021-06-14T10:09:15;30245;2021-06-15T00:06:51;48609
5;facilitate Pizza;Washington;calculating;Generic Rubber Table Devolved;compressing Tuna policy;2021-06-14T08:22:30;22517;2021-06-14T16:01:41;80750
6;withdrawal engineer;Glen Bacon;Producer grey Soft;iterate Garden secured line;Avon Taka;2021-06-15T00:46:12;8338;2021-06-14T21:39:18;91541
7;Ergonomic Steel Hat;TCP Executive;Kids e-services;Frozen;Fresh;2021-06-14T13:18:47;99607;2021-06-14T21:44:11;88716
8;Licensed;connecting;Somoni;lavender communities;Sudan;2021-06-14T16:17:45;93201;2021-06-14T08:09:49;51448
9;United Kingdom;interfaces compressing Focused;gold;partnerships;Botswana payment withdrawal;2021-06-15T01:57:27;26926;2021-06-15T00:29:35;21567
10;synthesize invoice;Expressway recontextualize;invoice Auto Loan Account USB;Producer salmon auxiliary;Identity Bike Ouguiya;2021-06-15T07:41:30;85753;2021-06-14T18:08:27;48068
