id;campaign_id;jhi_type;code;name;default_value;ord;export_excel;display;editable;option_value;status;create_datetime;create_user
1;46575;Unbranded productize;Applications Krona;HDD Borders;bypass;64602;up Mauritania;Interactions;Intelligent Home;enable Tasty;Fish;2021-06-17T00:48:38;35845
2;26962;definition;XML Australian;Supervisor Wisconsin transmit;Account Investment;30703;Greece;analyzing GB Central;experiences Market matrix;withdrawal Euro Liaison;Washington Tuvalu homogeneous;2021-06-16T16:54:37;75586
3;78233;frame mesh;Representative payment Park;reboot Dynamic Designer;mesh Borders data-warehouse;7041;Bacon Incredible blue;Auto;sticky Argentine;yellow Tennessee Generic;United withdrawal;2021-06-16T19:37:20;56909
4;21742;Books Coordinator;Small transmitting Account;Shoes;Usability Sleek synthesize;23121;dedicated Spurs;Principal web-readiness;Cotton;Plastic;sexy yellow;2021-06-17T10:29:54;90293
5;80140;array Peso;Pike Markets;Handmade;auxiliary;85799;schemas whiteboard application;hard;Savings User-friendly well-modulated;Berkshire synthesizing;New;2021-06-17T12:12:18;21951
6;6847;bricks-and-clicks Soft;maximize Hat;withdrawal microchip;olive Cambridgeshire Soft;75856;Account Towels Up-sized;Jewelery;engineer;digital;quantify;2021-06-17T07:10:40;44788
7;67919;Consultant Neck SDD;Savings;Dollar;scale customized;68517;deposit;superstructure Fish gold;Adaptive indexing;context-sensitive Savings green;Buckinghamshire;2021-06-16T20:33:17;83250
8;45574;relationships Manager Implementation;Home;JSON Security Analyst;Designer;73110;Berkshire Assistant;Auto Tunnel;calculate Credit;Philippines Branding;leading-edge synergistic;2021-06-17T11:14:36;63333
9;76145;Fresh Licensed;JBOD firewall;calculating;Keyboard Universal;31114;withdrawal neural Home;quantifying Implementation;Metal Metal;transition;Unbranded paradigm;2021-06-16T17:40:32;26780
10;9507;hack;syndicate Agent Investment;distributed US;driver;61334;Decentralized Money;pixel;Investor Principal hardware;Chicken task-force Mexico;Electronics Inlet Berkshire;2021-06-17T10:12:05;14288
