id;jhi_type;title;content;create_datetime;user_id;is_read;status;object_code;ref_id
1;Rustic Throughway;1080p;systematic Switzerland Granite;2021-06-18T12:18:18;84961;copying Wooden;Directives invoice payment;web-readiness calculate partnerships;25250
2;workforce Table compressing;Interface;generate Salad;2021-06-18T16:32:42;60347;Health parallelism;Health technologies;Table;58000
3;Specialist 1080p Spur;Sports;Games;2021-06-18T08:27:58;5558;system;mobile Loan;Table Myanmar architectures;73574
4;back-end;payment;Investor Global architectures;2021-06-18T23:00:32;69639;cross-platform SMTP bandwidth-monitored;HDD Arizona Car;utilize ivory GB;49486
5;AGP;Open-source compressing;deposit Incredible;2021-06-19T07:26:14;1021;generation Tasty panel;Comoro;compress;93081
6;payment;Franc real-time;Afghani human-resource;2021-06-18T17:48:14;59670;Account incentivize;Reactive;Algerian Shirt;67061
7;withdrawal;driver connecting;Account;2021-06-19T02:46:05;50824;alarm Forward monitor;invoice;Lira Peso;76311
8;THX Administrator real-time;lime Ocean robust;XML Architect;2021-06-18T14:44:17;61956;primary;Cordoba Computer;Lights Ergonomic Profit-focused;79035
9;deposit Dalasi;sticky grey;withdrawal;2021-06-18T08:44:16;48005;Response Toys;SCSI Platinum;orange Supervisor;48002
10;Tasty;International parsing bi-directional;Applications AI connecting;2021-06-19T08:14:02;35282;Communications;feed Hat;Enhanced Engineer;52977
